ANIO,MES,CLP_USD,ARS_USD,IPC_CL,IPC_AR,TCR
2023,enero,917.05,310.0,133.03,1079.3,24.000699939135725
2023,febrero,875.66,342.0,133.42,1134.6,21.773650548196304
2023,marzo,826.34,379.0,131.79,1203.0,19.902275567930996
2023,abril,798.26,373.0,131.66,1282.7,20.850034596382997
2023,mayo,809.5,388.0,133.11,1381.2,21.648659700875253
2023,junio,803.84,462.0,133.51,1497.2,19.5116348759971
2023,julio,798.64,485.0,133.64,1613.6,19.88239683778855
2023,agosto,799.87,489.0,133.37,1709.6,20.967512339014743
2023,septiembre,813.4,545.0,133.9,1818.1,20.264918225979947
2023,octubre,855.66,725.0,133.94,2044.3,18.013477347036503
2023,noviembre,884.4,790.0,134.88,2304.9,19.130493490697777
2023,diciembre,926.35,870.0,135.42,2496.3,19.627718490112503
2024,enero,886.61,855.0,136.36,2816.1,21.41546903706906
2024,febrero,874.67,975.0,135.68,3533.2,23.361030811562646
2024,marzo,907.99,1145.0,136.63,4261.5,24.73386598236336
2024,abril,963.44,1000.0,137.45,4825.8,33.82589124772645
2024,mayo,967.93,980.0,138.0,5357.1,38.341450776397515
2024,junio,960.14,1010.0,138.69,5830.2,39.96239371373866
2024,julio,917.88,1195.0,139.11,6073.7,33.53613335703451
2024,agosto,926.08,1335.0,138.97,6351.7,31.705613374373634
2024,septiembre,937.56,1340.0,139.94,6607.7,33.037160979438944
2024,octubre,929.9,1275.0,140.36,6883.4,35.767263227890176
2024,noviembre,926.21,1205.0,140.5,7122.2,38.96370615909393
2024,diciembre,933.81,1150.0,141.9,7314.0,41.85364059196617
